resource,subresource,glossary_terms,tags,owners,ownership_type,description,domain,ownership_type_urn
"urn:li:dataset:(urn:li:dataPlatform:snowflake,transdev.stg.cos_stf,PROD)",soa101,[urn:li:glossaryTerm:09ba0d17fa3710e9a4b1bd9845c6b5f4],,,,"Object type, has influence on the value of concession_code_csx  in dev_datavault.datavault.sat_cos_vehicle_last_previous_placement. Available values: KFZ =Kraftfahrzeig (lorry), FAWEG=Fahrweg (road), SBFZ=Strassenbahnfahrzeug (train, tram), HAGEB=building",urn:li:domain:ab33a116-2f26-40f5-972a-c3bd1256cdf0,
"urn:li:dataset:(urn:li:dataPlatform:snowflake,transdev.stg.cos_stf,PROD)",stf101,[urn:li:glossaryTerm:3ff473814545df0dcb877aaf750607df],,,,"Location code consisting of at least 4 capitals, the three first ones indicating the town and the last one being the first letter of the address",urn:li:domain:ab33a116-2f26-40f5-972a-c3bd1256cdf0,
"urn:li:dataset:(urn:li:dataPlatform:snowflake,transdev.stg.cos_stf,PROD)",stf102,[urn:li:glossaryTerm:e90d0945785bf72558d34df42dac09ff],,,,"Name of the location, e.g. Delft; Schieweg",urn:li:domain:ab33a116-2f26-40f5-972a-c3bd1256cdf0,
"urn:li:dataset:(urn:li:dataPlatform:snowflake,transdev.stg.cos_stf,PROD)",stf103,[urn:li:glossaryTerm:87cadd4a9ef4d2ee909db09471d18233],,,,"Date-time field",urn:li:domain:ab33a116-2f26-40f5-972a-c3bd1256cdf0,
"urn:li:dataset:(urn:li:dataPlatform:snowflake,transdev.stg.cos_stf,PROD)",stf104,[urn:li:glossaryTerm:0105ddcc4662492d834dab316dd4f0dd],,,,"Blocking Code U=Record is not visible W=Warning for being used",urn:li:domain:ab33a116-2f26-40f5-972a-c3bd1256cdf0,
"urn:li:dataset:(urn:li:dataPlatform:snowflake,transdev.stg.cos_stf,PROD)",stf105,[urn:li:glossaryTerm:b1eeba7a12731da601aac33c1e550165],,,,"Employee code of the person who has edited the record, e.g. ESIKKEMA",urn:li:domain:ab33a116-2f26-40f5-972a-c3bd1256cdf0,
"urn:li:dataset:(urn:li:dataPlatform:snowflake,transdev.stg.cos_stf,PROD)",stf106,[urn:li:glossaryTerm:c9c78cd7-3585-4d1a-8d63-91233a79125b],,,,"Reference, Four digit code for vehicles, or another alphanumeric values for other objects.",urn:li:domain:ab33a116-2f26-40f5-972a-c3bd1256cdf0,
"urn:li:dataset:(urn:li:dataPlatform:snowflake,transdev.stg.cos_stf,PROD)",stf108,[urn:li:glossaryTerm:5d698f60455131dad579d30fa888c122],,,,"X coordinate, It tells how far to the left or right point lies along the X-axis (Longitude)/GPS Coordinates(Co-ordinates in RD)",urn:li:domain:ab33a116-2f26-40f5-972a-c3bd1256cdf0,
"urn:li:dataset:(urn:li:dataPlatform:snowflake,transdev.stg.cos_stf,PROD)",stf109,[urn:li:glossaryTerm:457bacd2c0949782e865cfdb37fc5336],,,,"Y coordinate, It tells how far to the left or right point lies along the Y-axis (Latitude)/GPS Coordinates(Co-ordinates in RD)",urn:li:domain:ab33a116-2f26-40f5-972a-c3bd1256cdf0,
"urn:li:dataset:(urn:li:dataPlatform:snowflake,transdev.stg.cos_stf,PROD)",stf110,[urn:li:glossaryTerm:f8d5b3c4362c74b2889135f976765deb],,,,"Z coordinate, Z coordinate if applicable for floors.",urn:li:domain:ab33a116-2f26-40f5-972a-c3bd1256cdf0,
"urn:li:dataset:(urn:li:dataPlatform:snowflake,transdev.stg.cos_stf,PROD)",stf111,[urn:li:glossaryTerm:205cc8e4abce483a663ea98ae4974ffe],,,,"Available values:E (external),I (internal)",urn:li:domain:ab33a116-2f26-40f5-972a-c3bd1256cdf0,
"urn:li:dataset:(urn:li:dataPlatform:snowflake,transdev.stg.cos_stf,PROD)",wsad001,[urn:li:glossaryTerm:1ad79ab090a0ffd5071d22f71eaa816d],,,,"Foreign key to the WSAD table. Is empty.",urn:li:domain:ab33a116-2f26-40f5-972a-c3bd1256cdf0,
"urn:li:dataset:(urn:li:dataPlatform:snowflake,transdev.stg.cos_stf,PROD)",wkst001,[urn:li:glossaryTerm:9cda270fd28d31f5c187c250c12204df],,,,"Client number, foreign key to the WKST table.",urn:li:domain:ab33a116-2f26-40f5-972a-c3bd1256cdf0,
"urn:li:dataset:(urn:li:dataPlatform:snowflake,transdev.stg.cos_stf,PROD)",wadr101,[urn:li:glossaryTerm:494e41c9bbbdbcc621119340dd574879],,,,"Internal address number, contact person, foreign key to the WADR table.",urn:li:domain:ab33a116-2f26-40f5-972a-c3bd1256cdf0,
