resource,subresource,glossary_terms,tags,owners,ownership_type,description,domain,ownership_type_urn
"urn:li:dataset:(urn:li:dataPlatform:snowflake,transdev.stg.csx_lijnen,PROD)",route_nr,[urn:li:glossaryTerm:f660d23e6f01736730777ee3c0c8722c],,,,"Route number is a unique internal identifier use to denote one specific route.There can be different variants of that route.",urn:li:domain:0b87603e-6d4a-416f-aec0-f328e7be6e65,
"urn:li:dataset:(urn:li:dataPlatform:snowflake,transdev.stg.csx_lijnen,PROD)",lijn_letter_org,[urn:li:glossaryTerm:9d5b725a21f4b34e15fd860d14b7188d],,,,"The first letter from the route number use to indicate which letter corresponds to which concession/organization.Additional remark:This represents the original character coming from Hastus where CSX translates it into a UPPERCASE character.Note- In Hastus route and are unique and in CSX these are not unique.,urn:li:domain:0b87603e-6d4a-416f-aec0-f328e7be6e65,
"urn:li:dataset:(urn:li:dataPlatform:snowflake,transdev.stg.csx_lijnen,PROD)",ind_tellen,[urn:li:glossaryTerm:e1c9d65217f236b07bc2e531952e0a7a],,,,"Object type, has influence on the value of concession_code_csx  in dev_datavault.datavault.sat_cos_vehicle_last_previous_placement. Available values: KFZ =Kraftfahrzeig (lorry), FAWEG=Fahrweg (road), SBFZ=Strassenbahnfahrzeug (train, tram), HAGEB=building",urn:li:domain:0b87603e-6d4a-416f-aec0-f328e7be6e65,
"urn:li:dataset:(urn:li:dataPlatform:snowflake,transdev.stg.csx_lijnen,PROD)",ind_importeren,[urn:li:glossaryTerm:4207017d0a7f13f97cf029809c8afdc9],,,,"It indicates the route_number with it's related data can be imported or not.",urn:li:domain:0b87603e-6d4a-416f-aec0-f328e7be6e65,
"urn:li:dataset:(urn:li:dataPlatform:snowflake,transdev.stg.csx_lijnen,PROD)",ind_omloop,[urn:li:glossaryTerm:1b9f122fd4d58097e26b3f825eaefb22],,,,"Indicates wheteher the Vechicle Tagging ;i.e,VeTag code of the block (= omloop) needs to be checked.A VeTag (Vehicle Tagging) code (relevant for trafficlights and priority for busses getting green light or not) relates to the route_number.Note:Between 1- 399 is allowed for regular busroutes. Numbering from 400 and above is assigned for other traffic modes ,not bus, except for number 800 -and this is assigned to deadheadtrips -matritten.This VeTag is getting more and more obsolete and will be replaced by other traffic priority protocols ,like KAR.",urn:li:domain:0b87603e-6d4a-416f-aec0-f328e7be6e65,
"urn:li:dataset:(urn:li:dataPlatform:snowflake,transdev.stg.csx_lijnen,PROD)",infoxx_nr,[urn:li:glossaryTerm:b33b73de4c499e9ed6ce279c55f12425],,,,"The unique infoxx number use to identify the bus line.",urn:li:domain:0b87603e-6d4a-416f-aec0-f328e7be6e65,
"urn:li:dataset:(urn:li:dataPlatform:snowflake,transdev.stg.csx_lijnen,PROD)",perc_rit_afw,[urn:li:glossaryTerm:abfcc64041a3bcd22a8dc4ea47465858],,,,"This to the Stopposters that needs to be generated. The parameter controls how many trips take a different route compared to the usual route.The highest number of trips following a certain route are considered normal.If the ratio (expressed as percentage) between "not-normal trips"/ "normal trips" gets above the percentage of the parameter a new set of Stopposters is produced.The goal is to limit the amount of trip notes on a stopposter.",urn:li:domain:0b87603e-6d4a-416f-aec0-f328e7be6e65,
"urn:li:dataset:(urn:li:dataPlatform:snowflake,transdev.stg.csx_lijnen,PROD)",cwd_nummer,[urn:li:glossaryTerm:ae07b014d94eb0dc9e39e0d39b19908b],,,,"This parameter used to control on which ROV area, controlled by a certain post, the ROUTE_NUMBER should monitored. This is NOT IN USE anymore.",urn:li:domain:0b87603e-6d4a-416f-aec0-f328e7be6e65,
"urn:li:dataset:(urn:li:dataPlatform:snowflake,transdev.stg.csx_lijnen,PROD)",ind_chipcard,[urn:li:glossaryTerm:47af3b361f1c0836818b5cffb38cc465],,,,"It is stating that the trip numbers associated with the ROUTE_NUMBER must have unique identifiers across different data types.if the tripnumbers belongs to the ROUTE_NUMBER ,then it should have a distinct numbering between the daytypes- Weekday, Saturday and Sunday.For TRAIN Routes the tripnumbering should be the same for every day of the week as it controlls the train path from one station to the other.",urn:li:domain:0b87603e-6d4a-416f-aec0-f328e7be6e65,
"urn:li:dataset:(urn:li:dataPlatform:snowflake,transdev.stg.csx_lijnen,PROD)",ind_tonen_productformule,[urn:li:glossaryTerm:b2927ea7690974835caf2bdc8d3346a3],,,,"This parameter indicates of the productformula (like Breng, RRREIS, etc) should be displayed on StopPosters and on websites (when travel time data is exported).",urn:li:domain:0b87603e-6d4a-416f-aec0-f328e7be6e65,
"urn:li:dataset:(urn:li:dataPlatform:snowflake,transdev.stg.csx_lijnen,PROD)",ind_rolstoel,[urn:li:glossaryTerm:1a1b569936a974e425110497b4c43fad],,,,"It indicates whether the line has wheel chair acessibility.",urn:li:domain:0b87603e-6d4a-416f-aec0-f328e7be6e65,
"urn:li:dataset:(urn:li:dataPlatform:snowflake,transdev.stg.csx_lijnen,PROD)",transport_code,[urn:li:glossaryTerm:ec1f3e1744a32554829492d54ab1dcce],,,,"It indicates which type of transport mode this line is.",urn:li:domain:0b87603e-6d4a-416f-aec0-f328e7be6e65,
"urn:li:dataset:(urn:li:dataPlatform:snowflake,transdev.stg.csx_lijnen,PROD)",ind_internet,[urn:li:glossaryTerm:0bf576d753a962aa15e156d03ddef0e3],,,,"Indicates whether the traveltime data belonging to the ROUTE_NUMBER should be exported for websites on the internet.Used for indicating if the ROUTE_NUMBER with its related travel time data should be used for NeTEx exports coming from TTTI.This is NOT IN USE anymore.",urn:li:domain:0b87603e-6d4a-416f-aec0-f328e7be6e65,
"urn:li:dataset:(urn:li:dataPlatform:snowflake,transdev.stg.csx_lijn_detail_historie,PROD)",publiek_lijnnummer,[urn:li:glossaryTerm:bd65f1a88074894c2e60a29cc6cde546],,,,"It refers to the unique identifier of a public bus line/route within a public transport system.",urn:li:domain:0b87603e-6d4a-416f-aec0-f328e7be6e65,
"urn:li:dataset:(urn:li:dataPlatform:snowflake,transdev.stg.csx_lijn_detail_historie,PROD)",omschrijving,[urn:li:glossaryTerm:39a744d4cbbae6714c7f354b440cfb26],,,,"It refers to the start and destination point of a bus line/route.",urn:li:domain:0b87603e-6d4a-416f-aec0-f328e7be6e65,
"urn:li:dataset:(urn:li:dataPlatform:snowflake,transdev.stg.csx_transport_typen,PROD)",code,[urn:li:glossaryTerm:919209c2c26be7aa6c918e8e5b91aa89],,,,"It describes the type of transport.",urn:li:domain:0b87603e-6d4a-416f-aec0-f328e7be6e65,
"urn:li:dataset:(urn:li:dataPlatform:snowflake,transdev.stg.csx_transport_typen,PROD)",omschrijving,[urn:li:glossaryTerm:eda43a2cd90dbeafe519076cd21fedc5],,,,"It describes the transport type names.",urn:li:domain:0b87603e-6d4a-416f-aec0-f328e7be6e65,
"urn:li:dataset:(urn:li:dataPlatform:snowflake,transdev.stg.csx_transport_typen,PROD)",created_by,[urn:li:glossaryTerm:7e2d5d4ad10a0ba8a195c3c3e3ebca00],,,,"It describes the source by which it has been created.",urn:li:domain:0b87603e-6d4a-416f-aec0-f328e7be6e65,
"urn:li:dataset:(urn:li:dataPlatform:snowflake,transdev.stg.csx_transport_typen,PROD)",creation_date,[urn:li:glossaryTerm:bab6a3d0d336b6476904bfc00a6a86e0],,,,"It describe the the time and date it has been created.",urn:li:domain:0b87603e-6d4a-416f-aec0-f328e7be6e65,
"urn:li:dataset:(urn:li:dataPlatform:snowflake,transdev.stg.csx_transport_typen,PROD)",last_updated_by,[urn:li:glossaryTerm:6a77c1088228d59428cca24bd596fd2b],,,,"It describes the source by which it has been updated.",urn:li:domain:0b87603e-6d4a-416f-aec0-f328e7be6e65,
"urn:li:dataset:(urn:li:dataPlatform:snowflake,transdev.stg.csx_transport_typen,PROD)",last_update_date,[urn:li:glossaryTerm:2701ea2e231fc43029b97276364d2bc9],,,,"It describe the the time and date it has been updated.",urn:li:domain:0b87603e-6d4a-416f-aec0-f328e7be6e65,
"urn:li:dataset:(urn:li:dataPlatform:snowflake,transdev.stg.csx_transport_typen,PROD)",tme_code,[urn:li:glossaryTerm:6b7398273d9af0047f103fdc90f52117],,,,"It refers to the transmodel interface.",urn:li:domain:0b87603e-6d4a-416f-aec0-f328e7be6e65,
"urn:li:dataset:(urn:li:dataPlatform:snowflake,transdev.stg.csx_transport_typen,PROD)",netex_code,[urn:li:glossaryTerm:aa6189c00d8131adaf9421d0d541e278],,,,"It describes the transport mediums/time table.NeTex-Network Timetable Exchange is a standard for exchanging public transport schedules and related data.",urn:li:domain:0b87603e-6d4a-416f-aec0-f328e7be6e65,
